texto_tweet,texto_procesado,Mencion_Gobierno,Sentimiento
"Vota por tu emprendimiento favorito en TECLA 6 dale like 💙 en https://t.co/pAmRy0ggzh

Los 60 finalistas necesitan de tu voto para llegar al pitch day, tienes hasta el 31 de enero para darles tu voto

OJO👀si eres afiliado a Caja Los Andes ¡Tu voto vale el doble!✌️ https://t.co/i8UYphdT0N","vota por tu emprendimiento favorito en tecla 6 dale like 💙 en   los 60 finalistas necesitan de tu voto para llegar al pitch day, tienes hasta el 31 de enero para darles tu voto  ojo👀si eres afiliado a caja los andes ¡tu voto vale el doble!✌️ ",No,Muy positivo
"@BlestSergi @CajaLosAndes Estimado @BlestSergi, lamentamos lo que nos cuenta. Por favor, envíenos por DM/inbox sus datos (nombre, Rut, correo electrónico y teléfono) para que podamos ayudarle Quedamos a la espera.","  estimado  lamentamos lo que nos cuenta. por favor, envíenos por dm/inbox sus datos (nombre, rut, correo electrónico y teléfono) para que podamos ayudarle quedamos a la espera.",No,Muy negativo
"EN VIVO | Premio a la Trayectoria, presentado por @CajaLosAndes es para Valeria Lucca, de @audaxitaliano, y quien anunció su retiro de la actividad.

Sigue la ceremonia de los #PremiosFutFem en nuestro canal de YouTube.
https://t.co/FzMqwZSQum","en vivo | premio a la trayectoria, presentado por  es para valeria lucca, de  y quien anunció su retiro de la actividad.  sigue la ceremonia de los #premiosfutfem en nuestro canal de youtube. ",No,Muy positivo
"Saludo protocolar entre prefecto inspector José Carrasco, jefe de la Región Policial de Coquimbo y Juan Carlos Pesantes, gerente de @CajaLosAndes.
Desarrollan reunión de trabajo y agenda en conjunto para avanzar en nuevos desafíos, compromisos y realización de proyectos 2023. https://t.co/X4yx4Vpl32","saludo protocolar entre prefecto inspector josé carrasco, jefe de la región policial de coquimbo y juan carlos pesantes, gerente de  desarrollan reunión de trabajo y agenda en conjunto para avanzar en nuevos desafíos, compromisos y realización de proyectos 2023. ",No,Positivo
@CajaLosAndes hola disculpen estaba probando mi descuento para cinemark hace un rato y ahora no me deja volver a abrir los códigos que no canjee :( cómo puedo ver los dos códigos de nuevo?, hola disculpen estaba probando mi descuento para cinemark hace un rato y ahora no me deja volver a abrir los códigos que no canjee :( cómo puedo ver los dos códigos de nuevo?,No,Muy negativo
@CajaLosAndes contratan personas mayores como junior u otros ...???.preciso urgente trabajar...saludos cordiales.Tirso Antonio., contratan personas mayores como junior u otros ...???.preciso urgente trabajar...saludos cordiales.tirso antonio.,No,Muy negativo
"RT @CajaLosAndes: #Aymapu, emprendedor de la comunidad #TECLA, obtiene el premio Innovación social Caja Los Andes en los @premio_avonni 202…","  #aymapu, emprendedor de la comunidad #tecla, obtiene el premio innovación social caja los andes en los  202…",No,Muy positivo
"RT @CampeonatoCL: 👏👏 Felicitaciones @udechilefem 🔵🔴

Triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de Sausalito 🎟🏟

Nos…",  👏👏 felicitaciones  🔵🔴  triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de sausalito 🎟🏟  nos…,No,Muy positivo
@CajaLosAndes que requisitos necesito para incorporar como carga a mi madre. Ella es Venezolana tiene 65 años y cedula de visa temporal?, que requisitos necesito para incorporar como carga a mi madre. ella es venezolana tiene 65 años y cedula de visa temporal?,No,Muy negativo
@CajaLosAndes necesito ayuda con el beneficio de cinehoyts. No logro que se generen los cupones de descuento., necesito ayuda con el beneficio de cinehoyts. no logro que se generen los cupones de descuento.,No,Negativo
estimados @CajaLosAndes estaba revisando un correo que me llegó hoy en la mañana y  paf.. no hay mas cupos... abriran mas cupos?.. son 40 cupos por curso.. no será poco para su universo de afiliados y cargas... anotenlo por ahí... https://t.co/HsLRl8fu57,estimados  estaba revisando un correo que me llegó hoy en la mañana y  paf.. no hay mas cupos... abriran mas cupos?.. son 40 cupos por curso.. no será poco para su universo de afiliados y cargas... anotenlo por ahí... ,No,Muy negativo
"@CajaLosAndes Les envio Mensaje y pasa esto, porfavor solo necesito me llamen urgente 930100947  / Rut  13.073124-4 https://t.co/pxh69LC0ye"," les envio mensaje y pasa esto, porfavor solo necesito me llamen urgente 930100947  / rut  13.073124-4 ",No,Muy negativo
"@CajaLosAndes Hola ingresé a mi sucursal virtual para ver lo del beneficio de la caja escolar digital pero me aparece como utilizada, cuando no he pedido ni he utilizado ese beneficio, como lo puedo solucionar?"," hola ingresé a mi sucursal virtual para ver lo del beneficio de la caja escolar digital pero me aparece como utilizada, cuando no he pedido ni he utilizado ese beneficio, como lo puedo solucionar?",No,Muy negativo
"@IPSChile @ChileAtiende @MintrabChile @SENAMAGOB @previsionsocial @IPSValparaiso @SeremiTrabajoXV @MDSValparaiso @MintrabNuble @SubsecTrabajo @TrabajoBiobio @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22","            favor responder los mensajes. les envié el rsh,contrato de trabajo 2022, certificado de cargas familiares de  necesito mi #bonomarzo #aportefamiliarpermanente  estoy en 40% rsh, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",Si,Muy negativo
"@IPSChile @ChileAtiende @MintrabChile @previsionsocial @MinDesarrollo @subse_ssociales @IPSTarapaca @IPSOhiggins @IPSBiobio @IPSLosRios @IPSMagallanes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22","            favor responder los mensajes. les envié el rsh,contrato de trabajo 2022, certificado de cargas familiares de  necesito mi #bonomarzo #aportefamiliarpermanente  estoy en 40% rsh, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",Si,Muy negativo
"@IPSChile @CajaLosAndes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22","   favor responder los mensajes. les envié el rsh,contrato de trabajo 2022, certificado de cargas familiares de  necesito mi #bonomarzo #aportefamiliarpermanente  estoy en 40% rsh, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",Si,Muy negativo
"@IPSChile @MintrabChile @GobiernodeChile @MinDesarrollo @previsionsocial @subse_ssociales @SENAMAGOB @IPSValparaiso @MDSValparaiso @ChileAtiende @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22","           favor responder los mensajes. les envié el rsh,contrato de trabajo 2022, certificado de cargas familiares de  necesito mi #bonomarzo #aportefamiliarpermanente  estoy en 40% rsh, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",Si,Muy negativo
"@IPSChile @ChileAtiende @IPSTarapaca @IPSOhiggins @IPSBiobio @IpsLosLagos @IPSLosRios @IPSMagallanes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22","         favor responder los mensajes. les envié el rsh,contrato de trabajo 2022, certificado de cargas familiares de  necesito mi #bonomarzo #aportefamiliarpermanente  estoy en 40% rsh, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",Si,Muy negativo
"Hoy, a partir de las 16 hrs y en vivo por @24HorasTVN  el Gerente General de Aymapu, Víctor Velastino, conversará sobre los desafíos del reciclaje en nuestro país 👀

Aymapu fue el proyecto ganador del #PremioAvonni2022 Innovación Social @CajaLosAndes  🏆 https://t.co/QReOjLt88r","hoy, a partir de las 16 hrs y en vivo por   el gerente general de aymapu, víctor velastino, conversará sobre los desafíos del reciclaje en nuestro país 👀  aymapu fue el proyecto ganador del #premioavonni2022 innovación social   🏆 ",No,Muy positivo
"@CajaLosAndes Hola, cuanto se demora un crédito en moverse a otra empresa por el concepto de inter-caja?, que pasa si no tengo trabajo nuevo de forma inmediata, es decir, si no tengo continuidad?, empezarian a aplicar los seguros?"," hola, cuanto se demora un crédito en moverse a otra empresa por el concepto de inter-caja?, que pasa si no tengo trabajo nuevo de forma inmediata, es decir, si no tengo continuidad?, empezarian a aplicar los seguros?",No,Negativo
@cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos @24HorasTVN, me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la afc 3 veces. me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos ,No,Muy negativo
@CajaLosAndes @cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!,  me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la afc 3 veces. me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!,No,Muy negativo
@CajaLosAndes @cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!!!!!!,  me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la afc 3 veces. me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!!!!!!,No,Muy negativo
Ojalá que la @CajaLosAndes no me descuente cuota de crédito que ya se terminó de pagar. Para devolver lo que te han descontado mal hay que esperar ene.,ojalá que la  no me descuente cuota de crédito que ya se terminó de pagar. para devolver lo que te han descontado mal hay que esperar ene.,No,Muy negativo
"@CajaLosAndes hola les escribo y no me dejan enviarle mensaje 
les dejo mi correo: fabri.gonz@gmail.com", hola les escribo y no me dejan enviarle mensaje  les dejo mi correo: fabri.gonz@gmail.com,No,Muy negativo
"@Fonasa Al bajar mi cert de cotizaciones me doy cuenta (ni sabía) que estoy en  @CajaLosAndes 
Ofrecen créditos y préstamos. Funcionan como financiera CON MI PLATA PARA SALUD! Cómo chucha es posible que con todos los fondos (AFP Y FONASA) HAGAN NEGOCIO ESTOS INFELICES? https://t.co/anMaj74CMn", al bajar mi cert de cotizaciones me doy cuenta (ni sabía) que estoy en    ofrecen créditos y préstamos. funcionan como financiera con mi plata para salud! cómo chucha es posible que con todos los fondos (afp y fonasa) hagan negocio estos infelices? ,No,Muy negativo
"RT @CajaLosAndes: En este capítulo de #CaféSocial 🚀📺 los invitados serán Palpa, ganadoras de TECLA 5 y también 1ko, cooperativa con la cual…","  en este capítulo de #cafésocial 🚀📺 los invitados serán palpa, ganadoras de tecla 5 y también 1ko, cooperativa con la cual…",No,Muy positivo
"#Convocatoria
Obtén apoyo a la internacionalización y Softlanding de tu emprendimiento a Chile 🌏🚀
@endeavorchile Te invita a la 6.ª edición de TECLA, donde se premia a emprendimientos que trabajan por impactar la vida de millones de personas.
Participa: https://t.co/Mkh4DV58MO https://t.co/I1EbwRl328","#convocatoria obtén apoyo a la internacionalización y softlanding de tu emprendimiento a chile 🌏🚀  te invita a la 6.ª edición de tecla, donde se premia a emprendimientos que trabajan por impactar la vida de millones de personas. participa:  ",No,Muy positivo
"@CajaLosAndes Gracias !! @CajaLosAndes 

DM Enviado, empresas incorporadas por la web sin respuesta de vuestra parte aun, atento a su comentario y via de contacto para resolver, Gracias!!"," gracias !!    dm enviado, empresas incorporadas por la web sin respuesta de vuestra parte aun, atento a su comentario y via de contacto para resolver, gracias!!",No,Muy negativo
@CajaLosAndes me podrian ayudar con el cupón de descuento en #Rhein de que me sirve un BENEFICIO de descuento si no lo puedo usar? https://t.co/HzaaGlvuEd, me podrian ayudar con el cupón de descuento en #rhein de que me sirve un beneficio de descuento si no lo puedo usar? ,No,Neutral
@CajaLosAndes Les deje un dm si me pueden ayudar porfavor, les deje un dm si me pueden ayudar porfavor,No,Muy negativo
"@CajaLosAndes buenas tardes, quisiera saber si me pueden ayudar con unas licencias"," buenas tardes, quisiera saber si me pueden ayudar con unas licencias",No,Positivo
"@CajaLosAndes dado q estoy afiliado a la Caja y soy pensionado, deseo mantenerme unido a Uds x este medio y dado que Uds. no tienen problemas de límites, deseo saber si es posible si me pueden seguir inicialmente y a continuación los sigo.. Eso. Atte"," dado q estoy afiliado a la caja y soy pensionado, deseo mantenerme unido a uds x este medio y dado que uds. no tienen problemas de límites, deseo saber si es posible si me pueden seguir inicialmente y a continuación los sigo.. eso. atte",No,Muy positivo
"@CajaLosAndes sucursal dicen que no salgo en sistema por esos meses, entonces por donde me atienden y dan solución?"," sucursal dicen que no salgo en sistema por esos meses, entonces por donde me atienden y dan solución?",No,Muy negativo
"@IPSChile @CajaLosAndes ese ingreso está incorrecto, estamos en el 40% del registro social. https://t.co/TB7DcOcfb1","  ese ingreso está incorrecto, estamos en el 40% del registro social. ",Si,Muy negativo
@ChileAtiende @IPSChile @MintrabChile @GobiernodeChile @MinDesarrollo @previsionsocial @subse_ssociales @SENAMAGOB @IPSValparaiso @MDSValparaiso @CajaLosAndes sí recibimos asignación familiar 2022 y ganamos menos de 900mil @IPSChile https://t.co/gSTy2Xvq3V,           sí recibimos asignación familiar 2022 y ganamos menos de 900mil  ,Si,Muy negativo
"@CajaLosAndes @SUSESOChile Ademas, el formulario marca como pendiente un documento que deberia ser optativo, puesto que no presento ausencias laborales.  Quedo atento.","  ademas, el formulario marca como pendiente un documento que deberia ser optativo, puesto que no presento ausencias laborales.  quedo atento.",No,Positivo
"¡Más de 44.000 personas ya decidieron ayudar! Súmate tú también a un SOAP con VALOR SOCIAL 🤗

Nos unimos a @CajaLosAndes  para seguir llevando conectividad a niñas y niños de escuelas rurales en Chile.",¡más de 44.000 personas ya decidieron ayudar! súmate tú también a un soap con valor social 🤗  nos unimos a   para seguir llevando conectividad a niñas y niños de escuelas rurales en chile.,No,Muy positivo
"De una idea de 2 estudiantes de doctorado de @UChile_Beauchef a una exitosa #startup en sostenibilidad. #Elementum, parte de nuestro portafolio @KnowHubChile,  es finalista del Premio #Tecla6 de @CajaLosAndes y les invitamos a darle su apoyo! 
+ info ➡️ https://t.co/navTYdWBOE https://t.co/pv2YSQMcb8","de una idea de 2 estudiantes de doctorado de  a una exitosa #startup en sostenibilidad. #elementum, parte de nuestro portafolio   es finalista del premio #tecla6 de  y les invitamos a darle su apoyo!  + info ➡️  ",No,Muy positivo
"📍📅 Te esperamos el 29 de noviembre, a las 11:20 horas, en Centro Parque (Presidente Riesco 5330, Las Condes). 

➡️ Inscríbete aquí (cupos limitados): https://t.co/twoSc9Bvlk","📍📅 te esperamos el 29 de noviembre, a las 11:20 horas, en centro parque (presidente riesco 5330, las condes).   ➡️ inscríbete aquí (cupos limitados): ",No,Muy positivo
"@CajaLosAndes buen dia 
necesito hablar con un ejecutivo y me hablan por whatsap desde el nº +56 9 3484 8425
en la pag de uds dice que el numero oficial es 569 3657 3560.
no quiero ser estafado, puede validar el primer numero?"," buen dia  necesito hablar con un ejecutivo y me hablan por whatsap desde el nº +56 9 3484 8425 en la pag de uds dice que el numero oficial es 569 3657 3560. no quiero ser estafado, puede validar el primer numero?",No,Positivo
"@adrian_goodrich @CajaLosAndes Solución fácil, que tramite su renuncia y se busque otra caja de ""compensación"".... seguro que @CajaLosAndes corriendo le van a hacer el curso a su casa y le regalan un notebook. 🤔🙄😎","  solución fácil, que tramite su renuncia y se busque otra caja de ""compensación"".... seguro que  corriendo le van a hacer el curso a su casa y le regalan un notebook. 🤔🙄😎",No,Neutral
"@CajaLosAndes Jamás se pudo bajar la gifcard con unimarc y ahora salen todos inhabilitados. En sucursal dan una respuesta, ustedes otra respuesta. Ojalá se pongan de acuerdo y arregle luego por que estamos hace más de una semana intentando bajar la gifcard y arroja error."," jamás se pudo bajar la gifcard con unimarc y ahora salen todos inhabilitados. en sucursal dan una respuesta, ustedes otra respuesta. ojalá se pongan de acuerdo y arregle luego por que estamos hace más de una semana intentando bajar la gifcard y arroja error.",No,Muy negativo
@CampeonatoCL @udechilefem @CajaLosAndes Pongan un arbitraje capacitado ineptos,   pongan un arbitraje capacitado ineptos,No,Muy negativo
RT @LucianoRivas: Junto a @CajaLosAndes se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,  junto a  se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,No,Positivo
RT @LucianoRivas: Junto a @CajaLosAndes se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,  junto a  se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,No,Positivo
"Será factible q hoy la @CajaLosAndes , estime conveniente cancelar mi licencia médica @SUSESOChile  ?.
Pregunto…","será factible q hoy la  , estime conveniente cancelar mi licencia médica   ?. pregunto…",No,Muy negativo
Constructivo encuentro de dirigentes @Fesuc_Chile en Asamblea Nacional realizado en @CajaLosAndes Santiago. #HOY última jornada de reflexiones y acuerdos para aportar al desarrollo y fortalecimiento de CODELCO. https://t.co/nYpTEF62xE,constructivo encuentro de dirigentes  en asamblea nacional realizado en  santiago. #hoy última jornada de reflexiones y acuerdos para aportar al desarrollo y fortalecimiento de codelco. ,No,Muy positivo
"@Fesuc_Chile @CajaLosAndes Excelente y productiva jornada de trabajo y de encuentro Sindical, @Fesuc_Chile @CajaLosAndes","  excelente y productiva jornada de trabajo y de encuentro sindical,  ",No,Muy positivo
RT @deficitcero: Hoy fuimos destacados como una de las 70 iniciativas que impactan la vida de chilenos y chilenas en este especial de innov…,  hoy fuimos destacados como una de las 70 iniciativas que impactan la vida de chilenos y chilenas en este especial de innov…,No,Muy positivo
@DesiiSV @DeboraRiffo @sbeiitha @CajaLosAndes Vine a buscar información y ya veo que no soy la única que está en las mismas 😫 ya mitad de mes y nada del pago de la extensión del pp.,    vine a buscar información y ya veo que no soy la única que está en las mismas 😫 ya mitad de mes y nada del pago de la extensión del pp.,No,Muy negativo
"@CajaLosAndes Deberian agregar que Cotizaciones de Fonasa, ya que eso es lo que realmente piden y asi uno no pierde el tiempo! https://t.co/XtrHG6NI7t"," deberian agregar que cotizaciones de fonasa, ya que eso es lo que realmente piden y asi uno no pierde el tiempo! ",No,Neutral
"@CajaLosAndes esperando que me paguen mi licencia, el compin la autorizo y la caja no me da respuestas 🤬"," esperando que me paguen mi licencia, el compin la autorizo y la caja no me da respuestas 🤬",No,Muy negativo
"@CajaLosAndes Hasta cuando mi hermana tiene que seguir esperando el pago de la extensión de su post natal, más en estas fechas 😡 cuando más se necesita."," hasta cuando mi hermana tiene que seguir esperando el pago de la extensión de su post natal, más en estas fechas 😡 cuando más se necesita.",No,Neutral
"RT @CampeonatoCL: 👏👏 Felicitaciones @udechilefem 🔵🔴

Triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de Sausalito 🎟🏟

Nos…",  👏👏 felicitaciones  🔵🔴  triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de sausalito 🎟🏟  nos…,No,Muy positivo
@CajaLosAndes hace días me intento contactar por whatsApp y no contestan….no están trabaja a través de esa opción???, hace días me intento contactar por whatsapp y no contestan….no están trabaja a través de esa opción???,No,Muy negativo
"@CajaLosAndes  hola estimados!!!
Hice una solicitud (martes) a través del sitio web, cuya respuesta estaba en 48 hrs, según lo que decía el anuncio, pero aún no la tengo? Existe algún problema?","  hola estimados!!! hice una solicitud (martes) a través del sitio web, cuya respuesta estaba en 48 hrs, según lo que decía el anuncio, pero aún no la tengo? existe algún problema?",No,Muy negativo
"@CajaLosAndes hola solicite un credito por la pagina el dia de ayer, ya que el whatsapp, asi lo informa, por que no lo hacen por ese medio. Ahora llamo al call center e informa que no tengo ninguna solicitud. Y que es obligación ir a la sucursal. No tengo tiempo para ir."," hola solicite un credito por la pagina el dia de ayer, ya que el whatsapp, asi lo informa, por que no lo hacen por ese medio. ahora llamo al call center e informa que no tengo ninguna solicitud. y que es obligación ir a la sucursal. no tengo tiempo para ir.",No,Muy negativo
"RT @CajaLosAndes: @MayoTobar, Hola, informamos que aún no tenemos fecha de lanzamiento del beneficio Caja Escolar 2023, te recomendamos est…","   hola, informamos que aún no tenemos fecha de lanzamiento del beneficio caja escolar 2023, te recomendamos est…",No,Muy positivo
"@CajaLosAndes Hola quiero mandar mis documentos para asignacion familiar al correo que sale en su pagina que es asignacion.familiar@cajalosandes.cl pero al enviarlo me llega un mensaje de que no existe, o no deja enviar correo"," hola quiero mandar mis documentos para asignacion familiar al correo que sale en su pagina que es asignacion.familiar@cajalosandes.cl pero al enviarlo me llega un mensaje de que no existe, o no deja enviar correo",No,Muy negativo
@CajaLosAndes  alguien me puede ayudar tengo dos semana llamando nadie tiene información de mi caso no responden mic correos electrónicos y ya hice mis pagos y no me los reflejas y estoy como moroso sabiendo q pague y envíe todo por correo,  alguien me puede ayudar tengo dos semana llamando nadie tiene información de mi caso no responden mic correos electrónicos y ya hice mis pagos y no me los reflejas y estoy como moroso sabiendo q pague y envíe todo por correo,No,Muy negativo
"La @CajaLosAndes ofrece el #Soap a 1990 en el correo, ni se molesten en abrirlo, es para carritos de arrastre jajaja https://t.co/TCmHFvlba3","la  ofrece el #soap a 1990 en el correo, ni se molesten en abrirlo, es para carritos de arrastre jajaja ",No,Muy positivo
Todos los días me envían un mail diciendo q procederán a realizar la transferencia electrónica. En q año lo harán?. Son una real 💩 @CajaLosAndes @SUSESOChile https://t.co/RZGmbPywvA,todos los días me envían un mail diciendo q procederán a realizar la transferencia electrónica. en q año lo harán?. son una real 💩   ,No,Muy negativo
@CajaLosAndes Solo paso por el parque para entrar a la piscina..debo pagar 4 mil por pisar el parque y no hacer otro “uso” más que ese??, solo paso por el parque para entrar a la piscina..debo pagar 4 mil por pisar el parque y no hacer otro “uso” más que ese??,No,Muy negativo
"RT @Cristin28969576: @CajaLosAndes necesito urgente ver qué me solucionen mis pagos, no me quisieron recibir el documento en la sucursal de…","   necesito urgente ver qué me solucionen mis pagos, no me quisieron recibir el documento en la sucursal de…",No,Muy negativo
"Ayúdanos con tu voto! 

apanio - la solució;n digital para Mypes https://t.co/7D6vGEXLH8 #socialab vía @Socialab_com",ayúdanos con tu voto!   apanio - la solució;n digital para mypes  #socialab vía ,No,Muy positivo
"RT @lachepa0: @CajaLosAndes 2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. Llevo 8 días hábiles, esperando la…","   2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. llevo 8 días hábiles, esperando la…",No,Muy negativo
"@CajaLosAndes 2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. Llevo 8 días hábiles, esperando la respuesta a su análisis!. Cómo alguien no va poder levantar la info y cruzarla?. Elevado nivel de inoperancia @SUSESOChile. Ya realice el reclamo."," 2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. llevo 8 días hábiles, esperando la respuesta a su análisis!. cómo alguien no va poder levantar la info y cruzarla?. elevado nivel de inoperancia  ya realice el reclamo.",No,Muy negativo
@CajaLosAndes Buen día. ¿Para cuando el pago de la extensión del postnatal? Envié la carta el 02.12 a mi empleador y nada. Consulto por WhatsApp y no hay respuesta. ¿No pagarán este año? ¡Qué abuso!, buen día. ¿para cuando el pago de la extensión del postnatal? envié la carta el 02.12 a mi empleador y nada. consulto por whatsapp y no hay respuesta. ¿no pagarán este año? ¡qué abuso!,No,Muy negativo
@CajaLosAndes una mierda para atender publico sucursal colina atienden a una y hacen esperar cada 20 minutos para segur atendiendo son una mierda 😡😡😡😡😡 sobre todo el que está encargado creo, una mierda para atender publico sucursal colina atienden a una y hacen esperar cada 20 minutos para segur atendiendo son una mierda 😡😡😡😡😡 sobre todo el que está encargado creo,No,Muy negativo
